"source_path","md5","modified","bytes","source_rows","source_columns","role"
"/Users/D/R Working Directory/29-Years-of-Data-SCUC/data/SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv","4e702c15494bf2b627b128bab90c103e","2026-07-23 09:07:09 CDT",317594,4408,8,"Reported district subject proportions, 1995-2011"
"/Users/D/R Working Directory/SCUC STAAR Longitudinal Data/data/canonical/SCUC_STAAR_Grades_3_8_Annual_2012_2026_LONG_CANONICAL.csv","0de4f2c1994638700478a8c004a29fa8","2026-08-07 18:47:53 CDT",41512331,135070,20,"STAAR grade-level counts, 2012-2026"
